ID,Name,Category,Price
1,Item 1,Food,51.11
2,Item 2,Garden,84.59
3,Item 3,Toys,600.14
4,Item 4,Home,103.97
5,Item 5,Beauty,523.29
6,Item 6,Electronics,58.72
7,Item 7,Sports,449.22
8,Item 8,Garden,833.65
9,Item 9,Food,831.84
10,Item 10,Sports,578.97
11,Item 11,Beauty,726.5
12,Item 12,Electronics,697.61
13,Item 13,Garden,65.59
14,Item 14,Sports,90.89
15,Item 15,Health,113.36
16,Item 16,Books,454.44
17,Item 17,Health,312.72
18,Item 18,Garden,420.18
19,Item 19,Electronics,439.06
20,Item 20,Home,699.84
21,Item 21,Beauty,906.87
22,Item 22,Clothing,74.01
23,Item 23,Home,54.66
24,Item 24,Health,816.07
25,Item 25,Clothing,132.09
26,Item 26,Books,44.61
27,Item 27,Clothing,943.13
28,Item 28,Food,647.73
29,Item 29,Electronics,707.19
30,Item 30,Electronics,400.22
31,Item 31,Garden,95.6
32,Item 32,Toys,795.67
33,Item 33,Beauty,324.1
34,Item 34,Electronics,178.73
35,Item 35,Books,841.55
36,Item 36,Toys,230.82
37,Item 37,Sports,427.86
38,Item 38,Sports,187.03
39,Item 39,Health,611.22
40,Item 40,Clothing,64.94
41,Item 41,Sports,916.67
42,Item 42,Home,693.73
43,Item 43,Books,515.46
44,Item 44,Clothing,132.17
45,Item 45,Books,815.62
46,Item 46,Beauty,878.19
47,Item 47,Health,131.28
48,Item 48,Clothing,438.17
49,Item 49,Garden,297.83
50,Item 50,Garden,909.31
51,Item 51,Toys,783.83
52,Item 52,Garden,965.91
53,Item 53,Books,322.05
54,Item 54,Sports,807.29
55,Item 55,Sports,105.29
56,Item 56,Clothing,995.2
57,Item 57,Electronics,297.46
58,Item 58,Garden,730.23
59,Item 59,Health,728.76
60,Item 60,Clothing,518.55
61,Item 61,Toys,473.08
62,Item 62,Garden,713.49
63,Item 63,Toys,341.18
64,Item 64,Toys,257.11
65,Item 65,Health,171.3
66,Item 66,Books,31.95
67,Item 67,Clothing,571.26
68,Item 68,Garden,52.35
69,Item 69,Electronics,161.59
70,Item 70,Books,968.43
71,Item 71,Beauty,219.46
72,Item 72,Books,191.87
73,Item 73,Beauty,962.85
74,Item 74,Home,722.77
75,Item 75,Food,957.33
76,Item 76,Beauty,375.79
77,Item 77,Electronics,367.52
78,Item 78,Health,355.01
79,Item 79,Toys,31.69
80,Item 80,Health,422.98
81,Item 81,Clothing,544.59
82,Item 82,Books,395.71
83,Item 83,Sports,779.19
84,Item 84,Beauty,864.3
85,Item 85,Garden,322.38
86,Item 86,Home,665.81
87,Item 87,Sports,107.15
88,Item 88,Sports,647.06
89,Item 89,Electronics,878.97
90,Item 90,Electronics,20.49
91,Item 91,Books,576.33
92,Item 92,Home,644.03
93,Item 93,Health,381.91
94,Item 94,Health,997.98
95,Item 95,Garden,616.41
96,Item 96,Garden,193.8
97,Item 97,Health,585.47
98,Item 98,Sports,28.72
99,Item 99,Health,199.94
100,Item 100,Food,764.86
101,Item 101,Clothing,68.07
102,Item 102,Sports,630.78
103,Item 103,Clothing,335.95
104,Item 104,Home,661.1
105,Item 105,Food,382.74
106,Item 106,Home,481.56
107,Item 107,Clothing,191.74
108,Item 108,Beauty,905.05
109,Item 109,Electronics,914.92
110,Item 110,Home,339.69
111,Item 111,Books,697.65
112,Item 112,Food,587.74
113,Item 113,Books,704.5
114,Item 114,Books,760.57
115,Item 115,Electronics,495.79
116,Item 116,Books,53.96
117,Item 117,Electronics,420.9
118,Item 118,Sports,928.64
119,Item 119,Sports,340.6
120,Item 120,Clothing,668.5
121,Item 121,Garden,328.73
122,Item 122,Toys,879.99
123,Item 123,Sports,271.32
124,Item 124,Food,547.21
125,Item 125,Food,843.11
126,Item 126,Health,175.63
127,Item 127,Garden,294.25
128,Item 128,Food,779.92
129,Item 129,Food,176.79
130,Item 130,Beauty,471.32
131,Item 131,Beauty,953.76
132,Item 132,Health,423.45
133,Item 133,Books,850.38
134,Item 134,Beauty,202.48
135,Item 135,Books,313.17
136,Item 136,Electronics,870.77
137,Item 137,Books,581.8
138,Item 138,Toys,805.46
139,Item 139,Home,799.59
140,Item 140,Garden,853.84
141,Item 141,Beauty,159.11
142,Item 142,Clothing,247.97
143,Item 143,Clothing,854.9
144,Item 144,Beauty,178.47
145,Item 145,Electronics,747.7
146,Item 146,Beauty,615.23
147,Item 147,Books,484.12
148,Item 148,Home,685.35
149,Item 149,Home,627.92
150,Item 150,Clothing,471.31
151,Item 151,Garden,469.27
152,Item 152,Health,708.33
153,Item 153,Clothing,640.65
154,Item 154,Books,524.77
155,Item 155,Garden,958.82
156,Item 156,Health,625.85
157,Item 157,Toys,960.43
158,Item 158,Beauty,421.44
159,Item 159,Beauty,956.47
160,Item 160,Electronics,128.07
161,Item 161,Books,338.63
162,Item 162,Beauty,921.52
163,Item 163,Sports,645.6
164,Item 164,Health,281.2
165,Item 165,Beauty,315.28
166,Item 166,Health,336.51
167,Item 167,Health,128.87
168,Item 168,Clothing,417.7
169,Item 169,Food,421.7
170,Item 170,Home,267.49
171,Item 171,Health,902.46
172,Item 172,Sports,553.78
173,Item 173,Electronics,98.3
174,Item 174,Beauty,693.49
175,Item 175,Garden,252.9
176,Item 176,Beauty,415.49
177,Item 177,Toys,307.52
178,Item 178,Clothing,840.93
179,Item 179,Health,960.34
180,Item 180,Health,487.97
181,Item 181,Garden,452.47
182,Item 182,Clothing,447.65
183,Item 183,Food,62.29
184,Item 184,Beauty,578.32
185,Item 185,Garden,312.28
186,Item 186,Books,232.97
187,Item 187,Sports,359.25
188,Item 188,Health,770.02
189,Item 189,Electronics,228.1
190,Item 190,Electronics,105.56
191,Item 191,Food,326.78
192,Item 192,Food,368.3
193,Item 193,Sports,281.59
194,Item 194,Sports,634.19
195,Item 195,Toys,973.34
196,Item 196,Garden,621.07
197,Item 197,Sports,596.92
198,Item 198,Garden,791.38
199,Item 199,Electronics,760.34
200,Item 200,Books,59.71
201,Item 201,Electronics,688.4
202,Item 202,Health,891.45
203,Item 203,Clothing,19.62
204,Item 204,Toys,103.21
205,Item 205,Toys,49.49
206,Item 206,Beauty,164.38
207,Item 207,Books,602.12
208,Item 208,Beauty,384.39
209,Item 209,Books,69.34
210,Item 210,Health,847.93
211,Item 211,Health,167.23
212,Item 212,Food,998.88
213,Item 213,Books,355.88
214,Item 214,Electronics,842.96
215,Item 215,Books,873.78
216,Item 216,Clothing,724.35
217,Item 217,Health,372.4
218,Item 218,Beauty,813.18
219,Item 219,Health,550.26
220,Item 220,Garden,196.42
221,Item 221,Electronics,232.77
222,Item 222,Home,962.17
223,Item 223,Beauty,977.42
224,Item 224,Electronics,236.37
225,Item 225,Books,460.37
226,Item 226,Electronics,433.72
227,Item 227,Food,762.02
228,Item 228,Clothing,960.21
229,Item 229,Health,118.93
230,Item 230,Clothing,599.51
231,Item 231,Food,552.81
232,Item 232,Sports,521.77
233,Item 233,Sports,893.44
